job title,company name,salary,city,state,job type,qualifications
Data Science,Dataquestcorp,"$70,000 - $78,613",Branchburg,NJ,Full-time,"('SQL', 'Machine learning', 'Python', 'Tableau', ""Bachelor's degree"")"
Senior Data Analyst - Marketing,Fora Financial LLC,"$90,000 - $115,000",New York,NY,Full-time,"('SQL', 'VBA', 'Microsoft Excel', 'Tableau', 'Data collection', 'Bachelor of Science', ""Bachelor's degree"")"
Data Scientist - 2022-1087,Ardent Eagle Solutions,"$72,000 - $94,000",Washington,DC,Full-time,"('Microsoft Excel', 'Microsoft Office', 'ETL', 'Remedy', 'Microsoft Word', ""Bachelor's degree"")"
Data Architect,Tesseon,$26 - $28 an hou,Jefferson City,MO,Full-time,"('Power BI', 'CSS', 'SQL', 'APIs', 'JavaScript', ""Bachelor's degree"")"
Data Scientist,the NBA,"$80,000 - $100,000",New York,NY,Full-time,"('Social listening', 'Basketball', 'Power BI', 'Relational databases', 'SQL', ""Bachelor's degree"")"
data scientist - multiple openings,Starbucks,"$115,900 - $157,000",United States,N/A,Full-time,"('Azure', 'SQL', 'Analytics', 'R', 'Machine learning', 'Bachelor of Science', ""Bachelor's degree"")"
Data Science Associate (Remote),pulseData,"$82,000 - $110,000",New York,NY,Contract,"('SQL', 'Git', 'Communication skills', 'R', 'Machine learning', ""Bachelor's degree"")"
Data Scientist,Infinity Quest,,Remote,N/A,Full-time,"('Azure', 'SQL', 'Network architecture', 'PyTorch', 'NumPy')"
Data Science Analyst,UNICC,"$105,000 - $115,000",New York,NY,Full-time,"('Power BI', 'Azure', 'SQL', 'SAS', 'SSIS', ""Bachelor's degree"", ""Master's degree"")"
Data Science Analyst I - Mount Sinai Health Partners,Mount Sinai,"$72,473 - $108,709",New York,NY,Full-time,"('Medicare', 'Financial report writing', 'HEDIS', 'Data collection', 'Analytics', 'Bachelor of Science', ""Bachelor's degree"", ""Master's degree"", 'Doctor of Philosophy')"
"Senior Data Scientist, Analytics",Discord,"$175,000",San Francisco,CA,Full-time,"('Writing skills', 'Social media management', 'SQL', 'Tableau', 'A/B testing')"
Data Scientist,Devcare Solutions,"$120,000 - $130,000",Columbus,OH +2 locations,Full-time,"('SQL', 'Spark', 'R', 'Machine learning', 'Python', 'Doctoral degree', ""Master's degree"", 'Doctor of Philosophy')"
Head of Data Science,Duolingo,"$195,800 - $314,100",New York,NY +1 location,,"('Growing experience', 'Communication skills', 'SQL', 'R', 'Python', 'Doctoral degree', 'Doctor of Philosophy')"
Customer Data Science,WarnerMedia,"$109,900 - $204,100",New York,NY,,"('SQL', 'Spark', 'NoSQL', 'Natural language processing', 'Machine learning', 'Doctoral degree', ""Master's degree"", 'Doctor of Philosophy')"
Senior Director Data Analytics-SWHR,Southwestern Health Resources,"$140,000 - $210,000",Farmers Branch,TX,,"('Power BI', 'Data modeling', 'Data visualization', 'Machine learning', 'Big data', ""Bachelor's degree"", ""Master's degree"")"
